ID,SCHL,SCHG,POVPIP,WKL,FOD1P
263,19,15,0,1,0
264,1,0,76,3,0
265,16,0,0,1,0
266,20,15,0,1,0
267,19,15,0,1,0
268,16,15,0,1,0
269,22,16,0,3,6402
270,16,0,0,1,0
271,16,15,0,1,0
272,12,11,22,1,0
273,21,0,0,3,2304
274,12,12,0,3,0
275,18,15,0,3,0
276,19,15,0,1,0
277,16,15,0,1,0
278,14,0,0,3,0
279,19,15,0,3,0
280,13,0,0,3,0
281,16,15,0,3,0
282,22,16,0,1,1501
283,19,15,0,1,0
284,16,0,0,1,0
285,6,0,0,3,0
286,22,16,0,3,6402
287,16,0,0,3,0
288,6,0,0,3,0
289,18,15,0,1,0
290,16,0,46,3,0
291,13,13,0,3,0
292,18,15,0,1,0
293,16,15,0,1,0
294,18,15,0,1,0
295,19,0,0,3,0
296,19,0,0,3,0
297,19,15,0,3,0
298,1,0,84,3,0
299,21,0,129,1,2300
300,11,0,0,2,0
301,18,15,0,2,0
302,1,0,0,3,0
303,19,15,0,1,0
304,19,15,0,1,0
305,19,15,0,1,0
306,19,15,0,1,0
307,21,15,0,2,4101
308,14,0,0,1,0
309,19,15,0,1,0
310,19,15,0,1,0
311,18,15,0,3,0
312,19,15,0,1,0
313,13,12,0,3,0
314,21,15,0,1,2602
315,19,0,130,3,0
316,18,15,0,1,0
317,19,15,0,1,0
318,14,0,0,3,0
319,19,15,0,1,0
320,16,15,0,3,0
321,18,15,0,3,0
322,16,15,0,2,0
323,19,15,0,1,0
324,16,15,0,1,0
325,16,15,0,1,0
326,18,15,0,1,0
327,16,15,0,1,0
328,21,0,0,3,6402
329,16,15,0,1,0
330,14,14,0,3,0
331,19,15,0,1,0
332,16,0,27,3,0
333,21,0,423,1,2300
334,20,0,0,1,0
335,16,15,0,1,0
336,13,0,0,2,0
337,19,15,0,1,0
338,12,0,0,3,0
339,19,15,0,1,0
340,19,15,0,1,0
341,18,15,0,1,0
342,18,15,0,1,0
343,19,15,0,1,0
344,16,15,0,1,0
345,18,15,0,1,0
346,14,14,0,2,0
347,14,14,0,3,0
348,16,15,0,3,0
349,19,15,0,1,0
350,18,0,45,3,0
351,18,0,0,1,0
352,21,15,0,1,2602
353,22,16,0,2,4801
354,11,11,0,0,0
355,21,0,101,2,6203
356,1,0,0,3,0
357,18,15,0,3,0
358,19,15,0,1,0
359,17,0,140,3,0
360,16,0,0,3,0
361,16,15,0,1,0
362,24,0,0,3,5506
363,19,15,0,1,0
364,16,15,0,1,0
365,19,0,78,1,0
366,16,0,0,1,0
367,16,15,0,1,0
368,19,15,0,1,0
369,16,15,0,3,0
370,18,15,0,1,0
371,14,0,0,1,0
372,23,0,0,2,5506
373,16,15,0,1,0
374,16,15,0,1,0
375,19,15,0,1,0
376,19,15,0,1,0
377,18,15,0,3,0
378,23,0,84,3,4801
379,12,11,22,1,0
380,18,15,0,3,0
381,16,15,0,1,0
382,19,15,0,1,0
383,19,15,0,1,0
384,13,0,0,3,0
385,18,15,0,1,0
386,14,0,0,3,0
387,19,15,0,1,0
388,19,15,0,1,0
389,21,15,0,1,4101
390,16,0,0,1,0
391,19,0,0,2,0
392,19,0,0,2,0
393,16,15,0,2,0
394,16,15,0,1,0
395,16,15,0,1,0
396,18,15,0,1,0
397,16,15,0,1,0
398,19,15,0,2,0
399,17,0,140,3,0
400,21,16,0,1,1902
401,19,15,0,1,0
402,18,15,0,2,0
403,14,13,0,3,0
404,19,15,0,1,0
405,16,15,0,2,0
406,19,15,0,1,0
407,16,0,0,1,0
408,18,15,0,3,0
409,19,15,0,3,0
410,19,15,0,1,0
411,17,0,0,1,0
412,19,0,101,2,0
413,18,15,0,1,0
414,24,0,93,1,3700
415,19,15,0,1,0
416,18,0,0,3,0
417,21,0,0,3,6207
418,19,15,0,1,0
419,19,15,0,1,0
420,14,13,52,3,0
421,18,0,0,1,0
422,16,15,0,1,0
423,16,15,0,1,0
424,19,15,0,1,0
425,19,0,0,2,0
426,16,15,0,1,0
427,22,0,94,1,3301
428,14,13,52,3,0
429,8,0,0,3,0
430,19,15,0,1,0
431,16,15,0,1,0
432,16,15,0,1,0
433,22,16,0,2,4801
434,19,15,0,1,0
435,16,15,0,1,0
436,19,15,0,1,0
437,19,15,0,1,0
438,19,15,0,1,0
439,16,15,0,1,0
440,17,0,0,2,0
441,19,15,0,1,0
442,18,15,0,1,0
443,19,15,0,1,0
