SCHL,SCHG,POVPIP,WKL,FOD1P
19,0,130,3,0
18,15,0,1,0
19,15,0,1,0
14,0,0,3,0
19,15,0,1,0
16,15,0,3,0
18,15,0,3,0
16,15,0,2,0
19,15,0,1,0
16,15,0,1,0
16,15,0,1,0
18,15,0,1,0
16,15,0,1,0
21,0,0,3,6402
16,15,0,1,0
14,14,0,3,0
19,15,0,1,0
16,0,27,3,0
21,0,423,1,2300
20,0,0,1,0
16,15,0,1,0
13,0,0,2,0
19,15,0,1,0
12,0,0,3,0
19,15,0,1,0
19,15,0,1,0
18,15,0,1,0
18,15,0,1,0
19,15,0,1,0
16,15,0,1,0
18,15,0,1,0
14,14,0,2,0
14,14,0,3,0
16,15,0,3,0
19,15,0,1,0
18,0,45,3,0
18,0,0,1,0
21,15,0,1,2602
22,16,0,2,4801
11,11,0,0,0
21,0,101,2,6203
1,0,0,3,0
18,15,0,3,0
19,15,0,1,0
17,0,140,3,0
16,0,0,3,0
16,15,0,1,0
24,0,0,3,5506
19,15,0,1,0
16,15,0,1,0
19,0,78,1,0
16,0,0,1,0
16,15,0,1,0
19,15,0,1,0
16,15,0,3,0
18,15,0,1,0
14,0,0,1,0
23,0,0,2,5506
16,15,0,1,0
16,15,0,1,0
19,15,0,1,0
19,15,0,1,0
18,15,0,3,0
23,0,84,3,4801
12,11,22,1,0
18,15,0,3,0
16,15,0,1,0
19,15,0,1,0
19,15,0,1,0
13,0,0,3,0
18,15,0,1,0
14,0,0,3,0
19,15,0,1,0
19,15,0,1,0
21,15,0,1,4101
16,0,0,1,0
19,0,0,2,0
19,0,0,2,0
16,15,0,2,0
16,15,0,1,0
16,15,0,1,0
18,15,0,1,0
16,15,0,1,0
19,15,0,2,0
17,0,140,3,0
21,16,0,1,1902
19,15,0,1,0
18,15,0,2,0
14,13,0,3,0
19,15,0,1,0
16,15,0,2,0
19,15,0,1,0
16,0,0,1,0
18,15,0,3,0
19,15,0,3,0
19,15,0,1,0
17,0,0,1,0
19,0,101,2,0
18,15,0,1,0
24,0,93,1,3700
19,15,0,1,0
18,0,0,3,0
21,0,0,3,6207
19,15,0,1,0
19,15,0,1,0
14,13,52,3,0
18,0,0,1,0
16,15,0,1,0
16,15,0,1,0
19,15,0,1,0
19,0,0,2,0
16,15,0,1,0
22,0,94,1,3301
14,13,52,3,0
8,0,0,3,0
19,15,0,1,0
16,15,0,1,0
16,15,0,1,0
22,16,0,2,4801
19,15,0,1,0
16,15,0,1,0
19,15,0,1,0
19,15,0,1,0
19,15,0,1,0
16,15,0,1,0
17,0,0,2,0
19,15,0,1,0
18,15,0,1,0
19,15,0,1,0
18,15,0,1,0
16,15,0,1,0
16,15,0,1,0
19,15,0,1,0
16,0,0,3,0
16,15,0,3,0
18,15,0,3,0
24,0,93,1,3700
16,15,0,1,0
23,0,501,1,4801
8,0,0,3,0
22,0,46,1,6201
19,15,0,1,0
16,0,0,3,0
14,0,0,1,0
19,15,0,1,0
17,15,0,3,0
19,15,0,1,0
14,13,0,3,0
23,16,0,1,5403
21,16,0,1,5507
19,15,0,1,0
18,15,0,1,0
18,15,0,1,0
18,15,0,3,0
19,0,117,1,0
19,0,78,1,0
23,0,0,2,5506
19,15,0,1,0
13,12,0,3,0
19,15,0,1,0
21,15,0,1,4101
14,0,0,2,0
16,15,0,3,0
17,0,0,1,0
16,15,0,1,0
16,15,0,1,0
6,0,0,3,0
24,0,431,1,4801
19,15,0,1,0
16,15,0,1,0
16,15,0,1,0
1,0,76,3,0
19,15,0,1,0
16,15,0,3,0
16,0,0,1,0
16,15,0,1,0
6,0,0,3,0
19,15,0,1,0
16,15,0,1,0
18,15,0,1,0
18,15,0,1,0
18,15,0,1,0
17,0,0,1,0
19,15,0,1,0
14,0,0,3,0
19,15,0,1,0
16,0,43,1,0
21,0,0,3,6200
16,0,0,3,0
16,15,0,3,0
19,15,0,1,0
18,15,0,1,0
8,0,0,3,0
18,15,0,1,0
21,0,0,1,2601
18,0,85,2,0
14,0,0,3,0
24,0,42,1,4801
22,0,94,1,3301
19,15,0,2,0
19,15,0,1,0
19,15,0,3,0
13,0,0,3,0
19,0,0,2,0
23,15,0,1,5501
11,0,130,3,0
19,15,0,1,0
21,15,0,1,5502
16,15,0,2,0
21,0,0,3,6200
17,0,0,3,0
18,15,0,1,0
16,0,0,2,0
16,15,0,1,0
16,15,61,1,0
16,0,0,1,0
16,15,0,3,0
18,15,0,1,0
14,13,52,3,0
18,15,0,3,0
1,0,76,3,0
19,15,0,1,0
14,0,0,3,0
16,0,130,3,0
1,0,76,3,0
16,15,0,1,0
22,0,0,3,5506
16,15,0,1,0
19,15,0,1,0
16,15,0,1,0
16,15,0,1,0
17,0,0,3,0
13,0,0,2,0
11,11,0,0,0
18,15,0,1,0
18,15,0,1,0
14,13,52,3,0
16,15,0,1,0
16,15,0,3,0
19,15,0,1,0
12,12,0,3,0
18,15,0,3,0
13,0,0,3,0
24,0,93,1,3700
21,0,501,1,5505
16,0,119,1,0
9,9,119,0,0
2,2,119,0,0
0,0,119,0,0
21,0,501,1,2102
23,0,501,1,5506
22,0,501,3,6207
