ID,SCHL,SCHG,POVPIP,WKL,FOD1P
264,1,0,70,3,0
265,19,15,0,1,0
266,19,15,0,1,0
267,17,0,0,3,0
268,19,15,0,1,0
269,1,0,70,3,0
270,20,15,0,1,0
271,1,0,78,3,0
272,19,15,0,1,0
273,18,15,0,3,0
274,16,0,0,3,0
275,12,11,0,0,0
276,19,0,93,3,0
277,19,15,0,1,0
278,1,0,70,3,0
279,9,9,0,0,0
280,19,15,0,1,0
281,1,0,78,3,0
282,17,0,0,1,0
283,18,15,0,1,0
284,16,15,0,1,0
285,21,16,0,1,5200
286,19,15,0,1,0
287,16,0,0,3,0
288,18,15,0,1,0
289,16,0,134,3,0
290,16,0,0,1,0
291,19,15,0,1,0
292,16,0,46,1,0
293,18,15,0,1,0
294,16,0,0,3,0
295,17,0,0,1,0
296,19,15,0,1,0
297,18,0,0,3,0
298,17,15,0,3,0
299,16,0,90,1,0
300,19,15,0,1,0
301,14,0,0,3,0
302,19,0,55,3,0
303,18,0,0,2,0
304,21,0,40,1,5505
305,19,15,0,1,0
306,24,0,0,3,2401
307,16,0,49,1,0
308,19,0,73,3,0
309,19,0,0,2,0
310,19,15,0,1,0
311,16,15,0,1,0
312,14,0,0,3,0
313,19,0,98,3,0
314,19,15,0,1,0
315,19,0,0,3,0
316,16,0,0,3,0
317,20,0,58,1,0
318,16,0,0,3,0
319,11,0,74,3,0
320,16,0,0,3,0
321,19,15,0,1,0
322,1,0,70,3,0
323,17,0,0,1,0
324,16,0,49,1,0
325,16,15,0,3,0
326,16,15,0,3,0
327,8,0,0,3,0
328,16,0,0,3,0
329,19,15,0,1,0
330,19,15,0,1,0
331,18,15,0,1,0
332,19,0,0,3,0
333,18,15,0,1,0
334,19,15,0,1,0
335,18,15,0,1,0
336,16,15,0,2,0
337,19,15,0,1,0
338,16,15,0,1,0
339,14,13,0,3,0
340,16,0,0,1,0
341,18,15,0,1,0
342,14,15,0,1,0
343,16,15,0,1,0
344,9,9,0,0,0
345,19,15,0,1,0
346,19,0,0,3,0
347,16,15,0,1,0
348,16,0,0,3,0
349,16,15,0,1,0
350,19,15,0,1,0
351,16,0,0,3,0
352,11,0,0,3,0
353,19,15,0,1,0
354,18,15,0,1,0
355,19,0,0,1,0
356,19,0,0,2,0
357,19,15,0,1,0
358,19,15,0,1,0
359,16,0,0,3,0
360,16,15,0,1,0
361,13,13,0,3,0
362,19,15,0,1,0
363,19,15,0,1,0
364,19,0,0,1,0
365,19,15,0,1,0
366,14,13,0,3,0
367,19,15,0,1,0
368,16,15,0,1,0
369,16,15,0,2,0
370,18,15,0,3,0
371,16,15,0,1,0
372,16,0,0,3,0
373,19,15,0,1,0
374,19,15,0,1,0
375,16,15,0,1,0
376,19,15,0,1,0
377,16,15,0,1,0
378,16,0,0,3,0
379,19,15,0,1,0
380,16,15,0,1,0
381,17,0,0,1,0
382,19,15,0,1,0
383,19,15,0,1,0
384,16,15,0,2,0
385,11,0,0,3,0
386,18,15,0,3,0
387,11,0,203,3,0
388,19,15,0,1,0
389,14,13,0,3,0
390,19,0,0,1,0
391,13,13,0,2,0
392,16,0,0,1,0
393,16,15,0,1,0
394,16,0,7,1,0
395,16,0,0,3,0
396,16,15,0,1,0
397,19,0,98,3,0
398,19,0,135,3,0
399,12,11,0,0,0
400,16,0,57,1,0
401,19,15,0,1,0
402,19,15,0,1,0
403,16,15,0,1,0
404,18,15,0,3,0
405,19,15,0,1,0
406,16,15,0,1,0
407,16,15,0,2,0
408,16,15,0,1,0
409,16,15,0,1,0
410,16,0,0,3,0
411,14,13,0,3,0
412,19,15,0,1,0
413,19,15,0,1,0
414,19,0,117,3,0
415,16,0,0,3,0
416,18,15,0,1,0
417,19,15,0,1,0
418,19,15,0,1,0
419,19,0,55,3,0
420,19,15,0,1,0
421,19,0,17,1,0
422,16,15,0,1,0
423,18,15,0,1,0
424,16,15,0,1,0
425,16,15,0,1,0
426,16,15,0,1,0
427,19,15,0,1,0
428,1,0,0,3,0
429,16,0,0,3,0
430,19,15,0,1,0
431,16,0,0,2,0
432,19,0,55,3,0
433,8,0,0,3,0
434,9,9,0,0,0
435,9,9,0,0,0
436,16,0,0,3,0
437,16,15,0,1,0
438,16,0,0,3,0
439,14,15,0,1,0
440,16,0,0,1,0
441,1,0,0,3,0
442,19,15,0,1,0
443,16,0,0,3,0
444,16,0,0,3,0
445,16,0,0,3,0
446,19,15,0,1,0
447,16,0,0,3,0
448,19,15,0,1,0
449,19,15,0,1,0
450,19,0,55,3,0
451,17,0,0,3,0
452,19,15,0,1,0
453,16,0,57,1,0
454,19,15,0,1,0
455,11,0,0,3,0
456,1,0,73,3,0
457,11,0,0,3,0
458,21,0,0,3,1302
459,16,0,61,1,0
460,16,0,0,2,0
461,19,0,0,3,0
462,19,15,0,1,0
463,22,0,0,3,6200
464,16,0,0,3,0
465,19,15,0,1,0
466,19,15,0,1,0
467,16,15,0,1,0
468,16,0,0,3,0
469,16,0,0,3,0
470,16,0,0,3,0
471,19,0,117,3,0
472,16,0,0,3,0
473,16,15,0,1,0
474,1,0,0,3,0
475,16,0,0,3,0
476,16,0,7,1,0
477,12,11,0,0,0
478,19,15,0,1,0
479,18,15,0,1,0
480,21,0,9,1,2102
481,16,0,0,3,0
482,16,15,0,1,0
483,16,15,0,1,0
484,19,15,0,1,0
